City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,oranjemund,-28.55,16.4333,14.05,83,0,1.36,NA,1715044192
203,chonglong,29.7806,104.8522,21.08,83,100,1.41,CN,1715044192
204,swift current,50.2834,-107.8014,9.45,100,100,5.66,CA,1715044192
205,miyaly,48.8844,53.7836,9.57,40,12,1.58,KZ,1715044192
206,kununurra,-15.7667,128.7333,27.99,42,49,3.6,AU,1715044193
207,mount gambier,-37.8333,140.7667,15.4,62,1,2.63,AU,1715044193
208,murun-kuren,49.6342,100.1625,19.12,20,100,1.39,MN,1715044098
209,gamba,-2.65,10.0,25.74,92,50,2.65,GA,1715044193
210,port shepstone,-30.7414,30.455,21.66,43,0,2.78,ZA,1715044095
211,knysna,-34.0363,23.0471,16.67,53,0,0.91,ZA,1715044193
212,minas de marcona,-15.2119,-75.1103,15.37,83,42,5.57,PE,1715044031
213,mersa matruh,31.3525,27.2453,16.57,74,0,3.09,EG,1715044193
214,ballina,-28.8667,153.5667,20.99,79,0,8.86,AU,1715044193
215,sengiley,53.9622,48.7944,7.1,72,100,2.21,RU,1715044193
216,tual,-5.6667,132.75,27.49,82,100,7.12,ID,1715044118
217,san antonio de pale,-1.4014,5.6325,27.99,79,100,7.05,GQ,1715044193
218,petershausen,48.4,11.4667,11.5,95,100,3.03,DE,1715044193
219,aasiaat,68.7098,-52.8699,-12.72,91,54,2.41,GL,1715044193
220,vadso,70.0744,29.7487,-3.51,86,20,4.63,NO,1715044194
221,tralee,52.2704,-9.7026,10.03,87,95,1.97,IE,1715044194
222,narok,-1.0783,35.8601,15.23,96,100,0.76,KE,1715044194
223,pujili,-0.95,-78.6833,13.6,71,40,6.69,EC,1715043965
224,piskent,40.8972,69.3506,18.04,47,47,1.37,UZ,1715044194
225,mugia,43.1041,-9.2179,11.06,88,9,3.56,ES,1715044194
226,colonel hill,22.7667,-74.2167,25.27,79,35,9.51,BS,1715044194
227,nova vicosa,-17.8919,-39.3719,25.07,84,0,3.91,BR,1715044098
228,ilulissat,69.2167,-51.1,-4.99,68,100,0.0,GL,1715044194
229,whistler,50.1164,-122.9695,9.66,61,40,1.54,CA,1715043999
230,sijunjung,-0.6876,100.9537,24.55,97,100,0.16,ID,1715044194
231,karmala,18.4167,75.2,27.96,38,0,4.46,IN,1715044194
232,basco,20.4487,121.9702,28.49,69,5,2.08,PH,1715044194
233,dudinka,69.4058,86.1778,-14.07,97,99,2.24,RU,1715044194
234,kitimat,54.0524,-128.6534,9.39,68,99,3.58,CA,1715044195
235,kantang,7.4054,99.5156,27.85,83,100,1.33,TH,1715044082
236,clinton,42.587,-82.9199,17.18,57,3,3.45,US,1715044184
237,tafuna,-14.3358,-170.72,28.97,82,83,6.42,AS,1715044195
238,crozon,48.2464,-4.4899,12.21,94,100,4.12,FR,1715044195
239,namtsy,62.7161,129.6658,11.95,58,100,7.56,RU,1715044195
240,el calafate,-50.3408,-72.2768,-3.12,69,12,1.16,AR,1715044195
241,isangel,-19.55,169.2667,25.18,72,100,5.73,VU,1715044195
242,montepuez,-13.1256,38.9997,19.47,94,88,2.46,MZ,1715044195
243,guiuan,11.0333,125.7247,27.4,78,83,1.1,PH,1715044195
244,nikolayevsk-on-amure,53.1406,140.73,5.12,53,9,1.79,RU,1715043903
245,hailar,49.2,119.7,16.41,27,8,0.85,CN,1715044195
246,saint augustine beach,29.8505,-81.2654,25.08,83,0,6.17,US,1715044195
247,lubbenau,51.8667,13.9667,8.58,95,96,2.33,DE,1715044195
248,tenenkou,14.4572,-4.9169,33.51,34,99,5.89,ML,1715044195
249,lebu,-37.6167,-73.65,11.19,94,100,8.36,CL,1715044196
250,ancud,-41.8697,-73.8203,6.17,95,100,0.28,CL,1715044196
251,sisimiut,66.9395,-53.6735,-7.31,84,47,3.37,GL,1715044196
252,fort st. john,56.2499,-120.8529,14.34,30,100,4.14,CA,1715044196
253,thinadhoo,0.5333,72.9333,29.07,75,85,4.3,MV,1715044196
254,kralendijk,12.15,-68.2667,28.99,79,20,7.2,BQ,1715043905
255,kupang,-10.1667,123.5833,31.32,74,20,6.69,ID,1715044196
256,suva,-18.1416,178.4415,25.71,89,75,1.54,FJ,1715044196
257,tari,12.4086,4.4914,31.83,47,100,6.33,NG,1715044196
258,cadale,2.7603,46.3222,27.91,79,100,5.31,SO,1715044196
259,zheleznodorozhnyy,55.7503,38.0042,2.1,56,100,3.13,RU,1715043904
260,praya,14.9215,-23.5087,23.3,53,0,6.17,CV,1715043926
261,badr hunayn,23.7829,38.7905,23.94,25,0,1.01,SA,1715043903
262,chonchi,-42.6128,-73.8092,5.07,98,100,0.93,CL,1715044196
263,mount pearl,47.5166,-52.7813,3.41,92,100,9.77,CA,1715043959
264,bredasdorp,-34.5322,20.0403,14.45,64,2,1.47,ZA,1715044196
265,papao,-17.75,-149.55,30.82,84,100,9.85,PF,1715044197
266,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,78,75,4.0,RU,1715044197
267,primero de mayo,-32.2552,-58.4228,20.31,98,100,2.62,AR,1715044197
268,cordoba,-31.4135,-64.1811,17.64,76,0,0.49,AR,1715044159
269,naryn,41.4287,75.9911,9.52,52,0,1.68,KG,1715044197
270,lewiston orchards,46.3804,-116.9754,13.17,68,100,2.06,US,1715044197
271,nago,26.5881,127.9761,27.47,76,61,5.26,JP,1715044197
272,pinarbasi,38.7229,36.3931,2.52,87,94,1.5,TR,1715044197
273,miri,4.4148,114.0089,29.03,76,75,1.58,MY,1715044197
274,magalia,39.8121,-121.5783,16.95,57,79,2.51,US,1715044197
275,byron bay,-28.65,153.6167,20.95,84,50,7.61,AU,1715044197
276,orcopampa,-15.2661,-72.3417,9.77,69,95,2.41,PE,1715044197
277,guerrero negro,27.9769,-114.0611,16.66,67,99,9.7,MX,1715044008
278,andalgala,-27.5819,-66.3165,20.69,24,2,2.98,AR,1715044197
279,urzhar,47.093,81.6294,13.76,75,100,1.83,KZ,1715044197
280,karratha,-20.7377,116.8463,28.24,31,0,2.25,AU,1715044024
281,santa ana,33.7456,-117.8678,25.14,46,20,4.63,US,1715044054
282,vanino,49.0869,140.2543,3.29,84,100,4.27,RU,1715044005
283,tshabong,-26.05,22.45,18.51,29,0,4.05,BW,1715044198
284,bodaybo,57.8506,114.1933,8.97,93,100,2.1,RU,1715044003
285,georgetown,5.4112,100.3354,27.96,83,20,1.54,MY,1715043954
286,la tuque,47.4334,-72.7824,8.48,69,6,2.73,CA,1715044198
287,moranbah,-22.0016,148.0466,25.32,54,10,9.78,AU,1715044198
288,enewetak,11.3474,162.3373,27.82,77,98,8.54,MH,1715044198
289,floro,61.5996,5.0328,13.04,87,100,0.0,NO,1715044198
290,undurkhaan,47.3194,110.6556,18.49,20,12,4.77,MN,1715044198
291,sao joao da barra,-21.6403,-41.0511,24.87,86,0,3.61,BR,1715044198
292,bang saphan,11.2126,99.5117,29.31,74,98,0.8,TH,1715044198
293,saltillo,25.4167,-101.0,31.68,16,75,7.6,MX,1715044198
294,youghal,51.95,-7.8506,11.56,100,97,3.02,IE,1715044198
295,klaksvik,62.2266,-6.589,3.51,72,10,5.2,FO,1715044198
296,polyarnyy,69.1989,33.4478,-3.96,67,100,5.33,RU,1715044198
297,nizhniy kuranakh,58.8353,125.4869,12.54,75,100,2.6,RU,1715044198
298,santa cruz de yojoa,14.9833,-87.9,26.81,77,2,2.08,HN,1715044199
299,buy,58.4786,41.53,-2.92,70,0,1.57,RU,1715044056
300,newport,51.5877,-2.9984,12.05,88,9,3.7,GB,1715043994
301,rio grande,-32.035,-52.0986,20.06,96,100,4.1,BR,1715043959
302,issoudun,47.0,1.8333,10.83,93,100,4.12,FR,1715044199
303,westport,41.1415,-73.3579,20.08,85,0,1.54,US,1715043972
304,castilho,-20.8722,-51.4875,24.1,53,4,3.35,BR,1715044199
305,conception bay south,47.4999,-52.9981,3.74,92,100,5.26,CA,1715043976
306,cam ranh,11.9214,109.1591,28.98,79,40,1.54,VN,1715044199
307,umm al quwain city,25.5647,55.5552,30.01,45,0,2.27,AE,1715044199
308,brookings,44.3114,-96.7984,19.1,82,100,11.83,US,1715044168
309,hadibu,12.65,54.0333,28.76,74,22,2.53,YE,1715044199
310,omura,32.9214,129.9539,19.91,72,100,4.02,JP,1715044199
311,areal,-22.2306,-43.1056,18.58,89,0,1.29,BR,1715044199
312,mato verde,-15.3972,-42.8664,21.72,79,4,3.11,BR,1715044200
313,waingapu,-9.6567,120.2641,28.72,71,6,5.24,ID,1715044200
314,pisco,-13.7,-76.2167,20.03,83,0,3.6,PE,1715044200
315,beoumi,7.6736,-5.5764,23.93,95,100,0.87,CI,1715044200
316,al ghayzah,16.2079,52.176,29.34,76,0,3.87,YE,1715044200
317,egilsstadir,65.2653,-14.3948,4.62,68,10,4.25,IS,1715044200
318,sidi ifni,29.3797,-10.173,16.8,92,86,1.62,MA,1715044200
319,kerema,-7.9631,145.7785,28.58,75,95,2.34,PG,1715044200
320,bumba,2.1833,22.4667,24.84,69,86,0.71,CD,1715044200
321,wangqing,43.3218,129.7634,11.96,39,100,5.59,CN,1715044200
322,walvis bay,-22.9575,14.5053,14.49,80,0,2.95,NA,1715044200
323,amalapuram,16.5833,82.0167,29.05,86,15,1.85,IN,1715044200
324,cill airne,52.05,-9.5167,10.67,94,98,1.76,IE,1715044200
325,weno,7.4515,151.8468,29.03,79,64,5.77,FM,1715044200
326,tchintabaraden,15.8969,5.7985,33.1,15,84,3.47,NE,1715044201
327,mogocha,53.7333,119.7667,17.23,32,80,4.48,RU,1715044069
328,bandon,51.7469,-8.7425,11.77,93,22,3.37,IE,1715044045
329,takoradi,4.8845,-1.7554,27.71,83,100,1.78,GH,1715044201
330,mbuji-mayi,-6.15,23.6,22.49,66,3,1.34,CD,1715044201
331,kasongo-lunda,-6.4667,16.8167,21.32,69,5,0.68,CD,1715044201
332,kristiansund,63.1115,7.732,9.03,93,100,4.12,NO,1715044201
333,ataq,14.5377,46.8319,22.71,74,9,4.66,YE,1715044201
334,junin de los andes,-39.9504,-71.0694,2.08,92,100,3.45,AR,1715044201
335,zhicheng,30.2956,111.5047,22.83,84,100,1.67,CN,1715044201
336,aripuana,-9.1667,-60.6333,24.43,95,69,0.75,BR,1715044193
337,silale,55.4906,22.1814,3.9,97,100,5.96,LT,1715044201
338,ocean city,39.2776,-74.5746,20.14,90,100,0.45,US,1715043912
339,pagar alam,-4.0167,103.2667,22.14,97,100,0.05,ID,1715044201
340,varzea da palma,-17.5981,-44.7308,21.63,77,5,1.92,BR,1715044202
341,bikenibeu village,1.3673,173.1241,28.9,75,43,5.19,KI,1715044202
342,vuktyl,63.8567,57.3094,-1.05,92,100,4.47,RU,1715044202
343,chiredzi,-21.05,31.6667,15.45,76,0,1.28,ZW,1715044202
344,alaghsas,17.0187,8.0168,30.97,12,75,4.35,NE,1715044202
345,rimouski,48.4488,-68.524,8.1,72,5,4.01,CA,1715044053
346,twon-brass,4.3151,6.2418,28.95,79,100,4.61,NG,1715044202
347,babana,10.4295,3.815,27.41,70,47,3.25,NG,1715044203
348,sant lluis,39.8526,4.2594,15.22,94,0,7.2,ES,1715044203
349,jean-rabel,19.8533,-73.1917,26.18,86,12,4.79,HT,1715044203
350,tvoroyri,61.5556,-6.8111,7.66,72,12,5.33,FO,1715044107
351,blackfoot,43.1905,-112.345,10.96,47,94,12.11,US,1715044203
352,margate,51.3813,1.3862,11.28,97,100,4.26,GB,1715043949
353,fort mcmurray,56.7268,-111.381,15.67,59,100,2.09,CA,1715044203
354,east london,-33.0153,27.9116,23.42,38,0,2.33,ZA,1715044013
355,granada,37.25,-3.25,11.28,72,0,1.22,ES,1715044203
356,dumai,1.6833,101.45,25.52,95,100,1.74,ID,1715044203
357,keelung,25.1283,121.7419,27.94,75,98,3.94,TW,1715044203
358,rio gallegos,-51.6226,-69.2181,2.26,75,100,2.21,AR,1715044039
359,ponta delgada,37.7333,-25.6667,18.44,94,40,5.14,PT,1715044188
360,trinidad,-14.8333,-64.9,25.57,85,73,1.25,BO,1715044203
361,mildura,-34.2,142.15,20.6,54,0,5.32,AU,1715044131
362,punta del este,-34.9667,-54.95,18.06,100,100,2.57,UY,1715043999
363,susuman,62.7833,148.1667,0.55,76,80,1.34,RU,1715044204
364,howrah,22.5892,88.3103,24.0,88,100,5.14,IN,1715044204
